CRASH_RECORD_ID,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,CRASH_TYPE,DAMAGE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
1f1186e0411acc6dcb255905375964f9721a1deb19f463142ba9294a64d620f600467b8e7907a306faeb9a13a7ece13c2b7a8900577ee26242707b565c5773c8,2023-07-07 23:30:00,30,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,7959,S,MARYLAND AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,6,7
cc5809e5187918dcbd27eaf4fdf3f1cc8b16a0af90b6bb983f67936874245997199ad486616750c6329affe6d988761f120c65e154823357f8fe076eae9cbe45,2017-04-15 17:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",NOT APPLICABLE,NOT APPLICABLE,7900,S,PULASKI RD,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17,7,4
8d7ed21f732dcf4c622c5647b51811874a5e801fa6243ae71dc74891da9a84e43a468f4ecafb6b5e3b1c462d98422be99a6a5902d8af9c60641c7c3dd4a43932,2020-06-08 12:00:00,30,NO CONTROLS,NO CONTROLS,UNKNOWN,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,4640,N,SHERIDAN RD,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,2,6
a826ba79cb0d2b43d99aa7a2cbc8d06fc0615ab9b03b22a2adf2986cfc2dc209ede41651a21548f83c0a6860960d5c6836d7ffb3dc1f4e9970660aa65bced368,2024-04-21 05:00:00,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",PHYSICAL CONDITION OF DRIVER,FAILING TO YIELD RIGHT-OF-WAY,2732,W,CONGRESS PKWY,3,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,1,4
e8ce402d816159db6198d2b148fbefa79538614d348a688d7dd1bf156b0963d92a29abed3d3a49fd78faaf26fb5d7bc8fb28749baf7a55a7c0d2eaeabe70058a,2019-10-26 15:50:00,15,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",NOT APPLICABLE,NOT APPLICABLE,2555,N,NORMANDY AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,7,10
4d665443cf6167925d27444855a1f14b4fd002a5f8e36fe02765b8af5a210d8c05f9fb887c594f8bdfd660022ef4841cabd3677c1f6c1dc07a2d106d0512cd98,2018-10-11 11:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",FOLLOWING TOO CLOSELY,NOT APPLICABLE,4700,S,KEDZIE AVE,2,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,11,5,10
3d8bde3ff60a2fb9d68f20261d4b920afbd283ed818e2ecefda13542d367c2ba4c618909b8f9ea0b80c28aacc113e78f7bea2d35922aa4ed9f654e95dc156f6a,2018-12-02 02:32:00,30,NO CONTROLS,NO CONTROLS,OTHER,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,500,E,87TH ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,12
e0d7ac06a1ca2e7c7f2b68971ca3ae51615c85f45c571f3224443af1fb992cf38c9d28120e8e303904a5194d817e70413ff02c452a4c959742b0438bbd306d52,2021-10-30 15:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,901,S,STATE ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,7,10
0c61a9d6eb1f71046e3f1549ac069680b04af25d2ea4a751b441a3dd9c9ad15c46afb0ef6369365e668ba6b1a544f6cce092fd2ef6a0988492cc52b24a48eef3,2024-01-29 17:50:00,30,OTHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,2949,W,TOUHY AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,2,1
27ca788dd783d02c38cef737523ba17ede309c88b61c3db69c2550481730bdc96a126803a11ec7dd40efc0dc10098ec808a5bb5119ad5189d65329db3ddb08c2,2023-11-22 16:11:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1301,W,76TH ST,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16,4,11
